respid,sample,comp,int_date,lang,state,density,usr,qs1,sex,eminuse,intmob,intfreq,snsint2,home4nw,bbhome1,bbhome2,device1a,smart2,bbsmart2,bbsmart3a,bbsmart3b,bbsmart3c,bbsmart3d,bbsmart3e,bbsmart3f,bbsmart3f_1_other,bbsmart4,cable1,cable2,cable3a,cable3b,cable3c,web1a,web1b,web1c,web1d,web1e,web1f,web1g,web1h,web1i,web1j,web1k,sns2a,sns2b,sns2c,sns2d,sns2e,paya,payb,payc,prob,coviddisa,coviddisb,coviddisc,coviddisd,coviddise,device1b,device1c,device1d,books1,books2a,books2b,books2c,gender,age,marital,par,educ2,emplnw,disa,hisp,racem1,racem2,racem3,racem4,racecmb,birth_hisp,income,party,partyln,hh1,hh3,ql1,ql1a,qc1,weight,cellweight
183920,2,1,2/3/2021,1,48,5,U,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,1, , , , ,1,2,2,2,1,2,2,1,2,2,2,1, , , ,3,2,2,2,4,2,1,1,1,1,1,1,1,36,1,2,2,1,54,1,1,8,1,2,2,1, , , ,1, ,9,1, ,4,2, , ,2,0.7323726,0.6610388
183929,2,1,2/3/2021,1,36,5,U,2,2,1,1,1,1,1,2, , ,1, , , , , , , , , ,2,1,2,1,1,2,1,1,2,1,2,2,1,2,2,2, ,1,1, ,4,2,2, ,3,1,1,1,1,1,1,1,1,9,1,2,1,2,30,1,1,8,1,2,2,2, , , ,2, ,8,2, ,3,2, , ,2,1.8922977,1.4662541
184160,2,1,2/3/2021,1,13,2,U,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,2,2,1,8,1,1,1,1,1,1,2,1,1,2,1,2,1,3,4,3,3,2,2, ,2,3,3,1,8,2,1,1,1,8,1,2,1,1,25,6,2,8,1,2,2,1, , , ,1, ,6,4,8,2,2, , ,2,0.5734829,0.4700076
184450,2,1,2/3/2021,1,10,2,U,2,2,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,1,2,1,2,1,2,2,2,1, , ,1, ,5,2,2,2,4,1,8,8,1,1,1,1,2,0, , , ,2,76,3,2,3,3,2,2,1, , , ,1, ,6,2, ,1, , , ,1,0.9629045,2.2723671
184500,2,1,2/3/2021,1,12,2,U,2,2,1,1,2,1,1,2, , ,1, , , , , , , , , ,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2, , ,4, , ,2,2, ,4,1,1,1,1,1,2,2,2,13,1,2,2,2,28,3,2,6,1,2,2,1, , , ,1, ,4,1, ,1, , , ,2,1.0639224,0.9155135
184532,2,1,2/8/2021,1,5,3,U,2,2,1,1,2,2,1,2, , ,1, , , , , , , , , ,1, , , , ,2,1,2,2,1,2,2,2,2,2,2, ,4, , ,4,2,2,2,3,2,2,2,1,1,1,1,2,12,2,1,2,2,71,1,2,3,3,2,2,1, , , ,1, ,9,2, ,3,3, , ,1,1.7274714,2.2723671
184683,2,1,2/3/2021,1,36,5,S,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,1, , , , ,1,1,1,2,1,1,2,1,2,2,2,1,5,1, ,4,2,2,2,4,1,1,1,1,2,1,1,2,2,1,2,1,1,68,6,2,8,1,2,2,1, , , ,1, ,8,2, ,1, , , ,1,0.3110796,0.4837356
184700,2,1,2/3/2021,1,29,4,S,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,1, , , , ,1,1,1,2,1,2,2,1,2,1,2,1,4,3, ,2,2,2,2,4,1,1,1,1,1,1,1,1,97,1,1,1,1,51,1,1,8,1,2,2,1, , , ,1, ,8,3,9,4,2, , ,2,0.8829625,0.7635732
184757,2,1,2/3/2021,1,6,4,S,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,1, , , , ,1,1,1,2,1,1,1,1,1,2,1,1,4,1, ,1,2,1,2,2,2,2,2,1,1,1,1,1,4,1,2,2,1,52,1,1,8,1,2,2,6, , , ,5, ,9,1, ,4,2, , ,1,0.9123504,0.9498743
184937,2,1,2/3/2021,1,4,1,R,2,1,1,1,2,2,1,2, , ,1, , , , , , , , , ,2,2,1,1,1,2,2,1,2,1,2,2,1,2,2,2, , ,5, ,1,2,2, ,1,1,1,1,1,1,1,1,1,10,1,1,1,1,26,6,2,4,7,2,2,1, , , ,1, ,3,1, ,1, , , ,2,1.3772623,1.1451064
185096,2,1,2/3/2021,1,12,5,S,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,1, , , , ,1,1,1,2,1,2,2,1,2,2,2,3,3,1, ,2,2,2,2,3,1,1,1,1,2,1,1,1,2,1,2,2,1,76,1,2,6,3,2,2,1, , , ,1, ,8,2, ,2,2, , ,1,0.3234374,0.4333079
185171,2,1,2/3/2021,1,12,3,S,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,1,1,1,1,1,2,2,1,1,1,2,3,3,1,4,1,1,2,1,3,1,1,1,1,1,2,1,1,15,1,1,1,1,25,6,2,5,1,1,2,1, , , ,1, ,2,4,8,2,2, , ,2,1.6197416,1.2548401
185623,2,1,2/4/2021,1,27,2,S,2,2,1,1,2,2,1,2, , ,1, , , , , , , , , ,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2, , , , , ,2,2, ,3,2,3,2,1,1,2,1,1,12,1,1,2,2,32,1,2,7,1,2,2,1, , , ,1, ,9,1, ,2,2, , ,2,1.14488,0.9221477
185632,2,1,2/3/2021,1,48,5,U,2,1,1,1,2,2,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,2,2,2,2,2,2,2,2,2, , , , , ,2,2,2,3,1,1,1,1,2,2,1,2,20,1,1,1,1,80,1,2,8,2,2,2,1, , , ,1, ,9,2, ,2,2, , ,1,0.3234374,0.4333079
185764,2,1,2/3/2021,1,16,1,R,2,1,1,1,2,1,2, , , ,1,2,2,2,1,1,1,2, ,5,1, , , , ,1,1,1,1,1,2,2,2,1,2,2,1,1,1,3,2,2, ,2,2,2,2,1,1,2,2,2,2,10,1,2,1,1,31,6,2,6,1,2,2,1, , , ,1, ,5,8,1,1, , , ,2,0.5614908,0.4449434
186020,2,1,2/5/2021,1,56,1,R,2,1,1,1,2,2,1,2, , ,1, , , , , , , , , ,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2, , , , , ,2,2, ,2,2,2,1,1,2,1,1,2,50,1,1,1,1,46,1,2,6,1,2,2,1, , , ,1, ,8,3,1,2,2, , ,2,0.6254105,0.5699789
186252,2,1,2/3/2021,1,18,5,U,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,1,2,1,2,2,1,2,2,2, , ,1, ,3,2,2,2,2,2,2,2,1,2,1,1,2,4,1,2,1,1,61,5,2,6,1,2,2,1, , , ,1, ,8,1, ,1, , , ,2,0.405736,0.4027157
186414,2,1,2/3/2021,1,6,2,U,2,2,1,1,2,1,2, , , ,1,2,2,2,1,1,2,1,in school,6,1, , , , ,2,1,2,1,1,2,2,2,2,2,2, ,1, ,5,1,2, ,2,3,2,2,3,2,3,1,2,1,2,2,2,1,2,22,6,2,4,2,2,1,7, , , ,5,1,2,4,2,1, , , ,2,2.4596811,2.2723671
186950,2,1,2/3/2021,1,6,5,U,2,2,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,1,1,2,1,2,1,2,2,2,2, ,3,1, ,2,2,2,2,2,3,1,1,1,1,2,1,2,12,1,2,2,2,50,5,2,4,4,2,2,1, , , ,1, ,10,1, ,9,9, , ,1,1.0036393,0.934589
187090,2,1,2/3/2021,1,29,4,U,2,2,1,1,1,1,1,2, , ,1, , , , , , , , , ,1, , , , ,1,2,1,2,1,2,2,1,2,2,2,2, ,1, ,3,2,2,2,3,1,1,1,1,1,2,1,1,12,1,2,2,2,47,1,1,6,1,2,2,1, , , ,1, ,8,2, ,5,2, , ,2,1.1782515,1.0011556
187476,2,1,2/3/2021,1,8,1,R,2,1,1,1,2,2,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,2,2,1,2,2,2,2,2,2, , , , ,1,2,2,2,2,1,2,3,1,3,2,2,2,12,1,2,2,1,40,1,1,4,1,2,2,1, , , ,1, ,8,3,1,3,2, , ,2,0.8379908,0.6959571
187518,2,1,2/3/2021,1,26,4,S,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,1, , , , ,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,2,2,2,2,4,1,1,1,1,2,1,1,1,6,1,2,2,1,51,3,1,6,1,2,2,1, , , ,1, ,10,2, ,4,1, , ,1,0.6029669,0.7635732
187522,2,1,2/8/2021,1,54,1,R,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,2,1,1,1,1,1,1,1,2,1,2,2,2,1,2,2,1,1,1, ,1,2,2, ,4,1,1,1,1,1,1,1,1,0, , , ,1,34,1,1,4,1,2,2,1, , , ,1, ,7,2, ,4,2, , ,2,1.441502,1.2276977
187529,2,1,2/5/2021,1,36,5,U,2,2,1,1,2,1,1,2, , ,1, , , , , , , , , ,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,5,3,1,4,3,2,2, ,2,8,2,1,1,1,1,1,1,30,1,1,1,2,42,2,1,5,1,2,2,2, , , ,2, ,8,2, ,3,2, , ,2,2.0641838,1.5708197
187768,2,1,2/6/2021,1,34,4,S,2,1,1,1,3,2,1,2, , ,1, , , , , , , , , ,1, , , , ,2,1,2,2,1,2,2,1,2,2,2, ,3, , ,4,2,2,2,2,1,3,1,1,1,1,1,2,0, , , ,1,55,3,2,8,1,2,2,1, , , ,1, ,8,4,9,1, , , ,2,0.4440338,0.511873
187831,2,1,2/3/2021,1,16,1,U,2,1,1,1,2,2,1,2, , ,1, , , , , , , , , ,1, , , , ,1,2,1,1,1,2,2,1,1,1,2,4, ,2,1,1,2,2,2,1,2,1,1,1,1,1,1,1,10,1,1,2,1,27,4,1,5,1,2,2,1, , , ,1, ,8,1, ,5,2, , ,2,1.3772623,1.1451064
187835,2,1,2/3/2021,1,35,3,U,2,2,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,1,2,1,1,1,1,2,2,2, , ,5, ,3,2,2,2,3,3,2,1,1,2,1,1,2,25,1,1,2,2,54,1,2,5,5,2,1,1, , , ,1,1,9,1, ,2,2, , ,2,1.3736929,1.077609
187916,2,1,2/3/2021,1,21,1,R,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,1,2,1,2,1,2,2,2,2, , ,2, ,1,2,2,2,2,8,1,1,1,3,1,1,1,0, , , ,1,55,1,1,5,3,2,2,1, , , ,1, ,5,1, ,6,2, , ,2,0.6139404,0.6446405
188149,2,1,2/3/2021,1,53,3,S,2,1,1,1,2,1,1,3, , ,1, , , , , , , , , ,2,2,1,2,1,2,1,2,1,1,2,2,2,2,2,2, ,2, ,1,3,2,2, ,3,1,2,2,1,2,2,1,2,3,1,2,2,1,25,6,2,4,1,2,2,1, , , ,1, ,3,3,1,1, , , ,2,1.5475587,1.1704228
188193,2,1,2/3/2021,1,48,1,R,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,2,2,2,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1, ,2,1,2,1,1,1,2,1,1,4,1,1,2,1,27,6,2,3,1,2,1,5,7, , ,4,1,4,3,2,1, , , ,2,0.9944984,0.7771797
188395,2,1,2/3/2021,1,6,5,S,2,2,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,1,1,2,1,1,2,1,2,1,1,2,1,1, ,4,1,2,2,2,3,1,1,1,1,1,1,1,1,0, , , ,2,48,3,2,8,1,2,2,2, , , ,2, ,9,2, ,2,2, , ,1,1.1939551,1.1459723
188416,2,1,2/3/2021,1,26,4,U,2,1,2,2, ,2,1,2, , ,2, , , , , , , , , ,1, , , , ,2,2,2,2,2,2,2,2,2,2,2, , , , , ,2,2,2, ,3,3,3,2,3,1,2,2,2,1,2,2,1,83,3,2,1,3,2,2,1, , , ,1, ,3,1, ,1, , , ,1,0.8520909,1.3884518
188576,2,1,2/3/2021,1,6,5, ,2,1,1,1,1,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,1,1,1,1,2,2,1,1,2,2, ,1,3,4,5,2,2,2,2,3,2,2,2,2,1,1,1,2,1,2,1,1,33,1,1,6,1,2,1,1, , , ,1,1,9,3,1,5,2, , ,1,0.7504104,0.6615698
188847,2,1,2/4/2021,1,45,1,R,2,2,1,1,2,1,2, , , ,1,2,2,2,1,1,2,2, ,3,1, , , , ,2,2,1,2,1,2,2,2,2,2,2, , ,1, ,5,2, ,2,3,1,1,1,1,1,2,1,2,0, , , ,2,39,4,2,3,1,2,2,2, , , ,2, ,2,2, ,2,2, , ,2,2.4596811,2.1482023
188849,2,1,2/4/2021,1,26,3,S,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,1,1,1,2,2,2,2,2,2, , ,1,1,1,2,2,2,1,1,2,8,1,1,1,1,1,0, , , ,1,43,1,1,3,1,2,2,1, , , ,1, ,8,1, ,4,2, , ,2,1.7979002,1.3522218
188929,2,1,2/4/2021,1,8,2,U,2,1,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,1,2,2,2,1,2,1,1,1,2,2,3, , , ,3,2,2,2,4,3,2,2,1,2,1,1,2,2,1,2,2,1,45,1,2,3,1,2,1,1,7, , ,4,1,8,1, ,4,4, , ,1,1.3814145,1.0908039
188985,2,1,2/4/2021,1,13,4,S,2,2,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,1,1,1,1,1,2,2,2,1,2,2,3,2,5,3,1,2,2,1,1,2,1,1,1,1,1,1,1,50,1,1,1,1,22,6,2,4,1,2,2,2, , , ,2, ,3,3,2,3,3, , ,2,2.4596811,2.2723671
189015,2,1,2/4/2021,1,13,4,U,2,2,1,1,1,1,1,2, , ,1, , , , , , , , , ,2,2,2,1,1,1,1,1,1,2,2,1,1,2,1,2,3,2,1,2, ,2,2, ,4,1,1,1,1,1,2,1,1,20,1,1,2,2,26,2,2,8,1,2,2,1, , , ,1, ,5,2, ,2,2, , ,2,1.3666559,1.152712
189062,2,1,2/4/2021,1,29,4, ,2,1,1,1,2,1,1,2, , ,9, , , , , , , , , ,1, , , , ,1,1,1,2,1,2,2,1,2,2,2,4,3,3, ,4,9,9,9,3,1,2,1,1,1,9,1,9,25,1,1,1,9,99,9,9,99,99,9,2,1,6, , ,4, ,10,3,9,9,9, , ,2,0.3634112,0.3946651
189125,2,1,2/5/2021,1,53,3,U,2,2,1,1,2,2,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,2,2,1,2,2,2,2,2,2, , , , ,3,2,2,2,4,2,2,1,1,2,1,1,2,97,1,1,2,2,69,1,2,5,2,2,2,1, , , ,1, ,6,9,2,2,2, , ,1,0.7310106,1.1628674
189153,2,1,2/4/2021,1,24,4,S,2,1,1,1,3,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,1,2,1,2,2,2,2,2,2, , ,3, ,3,2,2,2,3,1,2,2,3,2,1,2,2,4,1,2,2,1,77,2,2,8,3,2,2,1, , , ,1, ,6,3,1,1, , , ,2,0.388097,0.4969179
189305,2,1,2/4/2021,1,6,3,S,2,1,1,1,3,2,1,2, , ,1, , , , , , , , , ,1, , , , ,2,2,2,2,2,2,2,2,2,2,2, , , , , ,2,2,2,4,2,2,1,2,3,1,2,2,40,1,2,2,1,80,3,2,4,3,2,2,1, , , ,1, ,2,3,1,1, , , ,2,0.6055424,0.6660438
189364,2,1,2/4/2021,1,12,3,S,2,2,1,1,2,1,1,2, , ,1, , , , , , , , , ,1, , , , ,2,1,1,1,1,2,1,2,2,2,1, ,2,1,2,3,2,2,2,2,2,2,1,1,1,2,1,2,2,1,2,2,2,60,1,2,6,3,2,2,1, , , ,1, ,8,1, ,2,2, , ,1,0.6654044,0.6669696
